text,sentiment
"@Juan_S_Alba Lo sé Pero pues bueno Lo que importa es que ya me dicen ""SUEGRA"" jajajajajajaj",P
"@xxleonxx67 en fin da igual, al final ya están así los asalariados, y amigo, se escribe elotadoras",N
Hola doc @AlbertoMunoz alguna recomendación para hospedarme en SFO o LA?? Si tiene un contacto mucho mejor gracias,NEU
"#PierdoMuchoTiempoEn Hacerle caso a los chismes, críticas, malos comentarios hacia mi persona Es mi vida, no la de ustedes",N
Días!!! Suelta las viejas creencias. Cambia tu energía. Cruza los límites imaginarios. Usa tu corazón. Libera tu niño interior... Besitos,P
@yahirmusic ya estaba bien preparada para ir a verte hoy pero primero está la seguridad Espero que puedan reprogramarlo muy pronto,NEU
"@ContactoCitibmx en la mañana habían retenido la compra en linea porque pensaban que era fraude con la tarjeta, pero ya lo resolvieron.",P
"Si me dieran cualquier deseo del mundo,solo pediría una sola cosa ... ""regresar el tiempo"" , tengo mis dudas sobre Dios pero.. ayúdame!",NEU
@iFabilalala Deja de burlarte de mí NO :; pero si me fue bien y aprendì mucho Ademàs tengo salud y màs cosas maravillosas jajaja,P
"Pues yo llevo 2 meses haciendo #gazolinazo; no tengo dinero para reparar mi carro. Y creo que ahora, después de esto, se irá al yonke.",N
"OMFG mi conductor de uber acaba de pasar por un bache gigante y ahora el coche va haciendo ruidos raros. Pobre, le va a costar carísimo.",N
"Me siento del pinche pito a la verga, en verdad tengo que dejar de tomar Y todavía quieren beber más hoy, Y MAÑANA ES 31 no mames",N
"Buen dia! Elige q cada uno de tus dias sea un milagro! que su dia este lleno de armonia, luz, amor y buenas vibras! Yo elijo ser feliz!",P
"Lo bueno que el ojete fui yo y que lo unico que me pese es no haberte dejado antes y calleras, pero no te deseo el mal n.n. Ya no más.",N
@karenvaldis en forma de recalentado,NEU
Quiero a mi novia aquí conmigo,N
kali uchis va a estar en bahidorá,NEU
@DanielaGGtz Siempre te daré lo mejor de mi.,P
Que triste levantarme pensando en tacos y no tenerlos,N
Escuché que se movía el traste de mi perrita muerta,N
@lcjury no me digas que está perdido lo que te regalé,N
"Le fuí infiel a ""Don Escojale"", en verdad no lo vuelvo hacer",N
Mañana Juegan Y Ganan Mis @PumasMX Venga Universidad Por los 3 primeros puntos,P
Eso de salir a las 8 de la escuela no va a estar chido,N
"@Netgakure Se Ve Bie, Pero Noup! No se Tan Solo no lo veo Muy ""Natural""",N
"@ErickCt_ nosotros estábamos muy feliz mente cazando pokemon, siguiendo nueStra ruta y tuvimos un encuentro desafortunado",NEU
@ICVNL ustedes me puede ayudar a saber pq voy a pagar mas que en los anios anteriores,N
"@susana_tb Feliz 2017 Su y feliz vida... awww qué bonito pingü, muero de amor. Un abrazo muy grande",P
"@NekoJitaBlog Yo por un bolillo con mayonesa, huevo, frijoles y mucho chile... Ahhhh... es un antojo muy malo...lo sé...",N
@libertadzavala ¡Gracias por las flores! Ha sido gracias al esfuerzo de un gran equipo @annabrays @bikennia @ClaraVadillo @YazAPie y más,P
"@She_RA_H @DarinaSilver ya me habían hecho pixie y me quedan chidos, pero tengo mucho pelo y quise recortarlo más. Mi error",N
"Hey! @ifCristian espero tengas un muy bonito día, H! Te deseo lo mejor siempre Sé feliz ️ y felicidades, una vez más.",P
"Que no se pierda la bonita costumbre de empezar el año, la semana, el mes valiendo verga en el amor y en todo",N
Que oso que soy tan chillona y no me puedo callar y el sr de al lado en el avión nomás no me abraza,N
"Hay días en las que me pongo muy triste, pero no lo demuestro aparte de que a nadie le importa pues a nadie le importa",N
Lo mejor de estas fechas es que con el frio vienen los suéters y con ellos solo tengo que planchar el 15% de la camisa... #NavidadGodin,P
"Oigan no, no nos hagan eso a las locas, madrugar no es pa nosotras. Así que, cadena de oración pa que pueda dormir aunque sea 3 horas.",N
"@GaCaela ya sé. No te vi en ésta, pero me contaron de ""la modelo se paseó desnuda como si nada"", y pensé en tu primera vez toda nerviosa",NEU
"Úrgeme irme a vivir solo, donde el baño sea solo para mi y pueda cagar a la hora que se me hinche la pinche gana sin que esté ocupado",N
Estoy nerviosa y tengo miedo,N
Extraño los chilaquiles de la FCC,N
@elbajimenez9 o solo simple mente m ignoras,N
"Yo si estaba esperando la ""posada del año""",NEU
@andreaamena es que si te pasas de guapa andy,P
"El juego de GrumpyCat es demasiado adictivo, no lo soporto",N
@Lian_U send nudes y nubes *le pasa su alias de telegram*,NEU
@salvadorop no existió recalentado de Año Nuevo por qué ni cena hubo.,N
@ElOsoCarpinter Igualmente ayer vi queriendo saquear el bbva y no habia nada ajjaja,N
"@Sofiabubble sí para las propias, pero para andar hurgando en las cuentas de otros?",N
"@chocoloveAc tenemos muchas ganas de verte!!! Te extrañamos muchísimo, vuelve pronto porfavor!!!! te queremos mucho",P
"Otsss uno se siente igual, lo peor es que realmente tuvo la culpa este pobre hombre",N
"@bbzote sí, pero nada. Creo que es por vivir en la última calle ya les dio flojera",N
"Amigos, me llevo el premio a la ansiedad. Parece que me bebí el reino del café ando mal",N
"@edo_diaz ¡Hola! Hemos confirmado que la señal se transmitió correctamente en la región, por favor revisa con tu cableoperador",NEU
"Que te contesten con un ""¿Qué demonios fue todo esto? jajaja"" a un mensaje bonito, sí te mata un poquito.",NEU
"@JuliahdeVince tu ser muy buena maifren, no hay nada que me ponga bien por ahora pero gracias por preocuparte por mí.",P
Es mejor darle el corton a la gente q ponerse a discutir por cosas que ni ellos mismos entenderán!!! A desayunar papus!!!!!!,N
"-Me gusta esta canción -Hace tiempo se la dediqué a mi ex Y cada vez que la escucho, me acuerdo de su ex",N
"Confieso que tengo una play list en Spotify que dice : «Canciones para Bangtan » , son canciones cursis y una que otra loca",P
"Buenos días!!! Lo q hoy seas capaz de sembrar, será lo q mañana cosecharás. Tu futuro depende de lo q realices en tu presente... Besitos",P
"Cuidando a mi enfermita, hoy no se trabaja dice ella y esta perfecto día de camita! yo malita tu malita chin me toco ser la enfermera!",N
"Si me caes bn lee esto, si no sigue tu camino jajaja ....Feliz Navidad pasenla súper bn y que santa les de muchos regalitos .. Los quiero",P
"No ire a la facu porque esta muy feo el clima no hay taxis, Uber, mi mama no me quiere llevar, no me quiero mojar, pues me duermo",N
"Que triste, es el primer dibujo que quiero que vea, que de verdad me gustó, en el cual me esforcé más que en otros, y no creo que lo vea",N
@wendolencha es que pinche partidazooo,P
@MarianaGrarod @dctorre ya puedes ser feliz,P
Me muero por ya comprar otro celular,N
@RociYAxel Feliz cumpleaños que la pases súper bien,P
Esos pequeños momentos de felicidad que apenas duran segundos,P
no puedo creer que hace unos años era muy feliz,N
"Odio ver a las parejitas abrazadas o besándose , pura envidia",N
"@Diablin13 Sigue pendiente de nuestras redes, estaremos regalando boletos para la premiere.",P
"@sapitomen de me ntojaban más unos de canasta. Jijiji háblame de tú, porfa",P
"@atlgarza Gracias por tu Rt, fui de las primeras 5 vistas, te amo Garza",P
"Mi gata es tan desconciderada, pasa sus pequeños bigotes en mi cara para que despierte",N
te levantas emocionado por ser dia de reyes pero recuerdas que ya estas grande #felizdiadereyes #Eanz,N
"Se viene la goleada, ya pitale árbitro... O quiten a Ochoa para que no se lo chinguen",N
No me parece justo que ya sea 6 y yo no haya comido ni un poco de rosca,N
Nota mental: no le quieras ayudar a alguien que no confía en ti. -La primer enseñanza de este año-,N
"Aparentemente superados los efectos de la venganza de Moctezuma, cogemos camino a Chiapas ... porque mucha historia nunca es suficiente",P
"En serio si van a manifestarse Estamos en todo el derecho pero esto ya es un desmadre, en serio no mamen",N
Puta gente naca por su culpa ya no me dejo mi mamá ir a partir rosca con mis amigos pónganse a trabajar,N
"Y si haz dormido con alguien más, SI HOY duermes con alguien porfa no la abraces y no le digas que la quieres",N
"Buenos días!!! Los retos en la vida no están ahí para paralizarte, sino para ayudarte a descubrir quién y que tan fuerte eres... Besitos",P
"Al rato rosca de reyes Ya se que no es hoy cuando se parte, pero s mi suegro le gusta hacer las cosas en familia",P
"Lejos, lejos, muy lejos...manejar hasta acá esta padre! Algo diferente q mal q ya no está la feria del caballo pq si no, me quedaba jaja!",NEU
"@SayiRuiz Es que el mío dice Editar Perfil. :v jaja, no sólo se cambia el nombre... No el username, ya mejor me espero a estar en PC",NEU
Hoy un señor en el súper me dijo señora. Tengo dos teorías: es un pendejo porque agarro mi carrito en vez del suyo o real me veo vieja,N
@Yo_Soy_B es que aquí no hay así que diga edificios y lugares históricos y los que hay son como 3 y ya no esta chido por eso lo digo.,N
Tan sabroso que estaba durmiendo,N
@PPTeamKaren cuando hacen un helado galáctico,NEU
@JhosselinOlan Jajaja mismo edificio pero diferentes pasillos,NEU
El sueño mas hermoso que he tenido. #nomequeriadespertar,P
"Fue una muy pero muy agradable platica, espero repetirlo",P
"Es como si ya me hubiera ido a vivir sola,",NEU
K desesperante es hablar con alguien que tarda mucho en contestar,N
"@ivonnems28 ¿crees? Hahaha obvio si, todos toditos, de todas toditas las personas",N
Esos taquitos al pastor me están destrozando el estomago peor que tus engaños,N
"@ivonnemelgar tristemente cierto: Otra historia lamentable de política femenina fallida, muy buen articulo! Abrazo",N
"@vcatita al contrario, me creo poco porque según mi ""couchhhhhh"" ya debo de hacer 6k",P
"No, pero más bonito es volverlos a ver y saber que se alegran por mi regreso.",P
"@ItzeelF18 ¡Con mucho gusto! De entrada, por aquí los mejores deseos para el año que ya llega.",P
"Dices que me.entiendes pero se que pasará lo mismo, te enfadaras y ya no me vas a hablar",N
"10 AÑOS DEDICÁNDOME AL PERIODISMO, Y LOS QUE ME FALTAN POR CUMPLIR 6 años en la F1 &amp; UFC",P
Pues empecé mi día con el pie derecho... metido en un monte de tierra por las reparaciones de las calles,N
"Y fue como ""¿Viste cuantos akatsukis salen?"", ""¿Y Gaara?"", ""¿Y el imbécil de Sasuke?"". Fue como el TODO ese primer episiodio",N
"@SirArminDice voy a leer sobre ello Por cierto, no estoy en contra de la propiedad privada, por errores me refería al invididualosmo..",N
"Odio tener una voz horrible y que a la vez ame cantar, no es justo ¿por que la vida me trata tan mal?",N
"Días!!! Sí te caíste no importa; levántate,continua y haz a un lado la piedra con la que tropezaste, para no caer de nuevo... Besitos",P
"21 medallas de oro de Phelps, eso que?, La seleccion mexicana de fut ganaron 23 hace 4 años! Ah QUEEE??? Nadamás vale por una? Avisenme!",N
"Si algo detesto de la consulta es a los familiares groseros de los adultos mayores, la impotencia de saber que se tienen que ir con ellos",N
"tengo mucho miedo de que los del sur no quieran venir a la AN sólo porque es en CUU pls animense, yo los hospedo, los quiero mil",NEU
"Hablando de miradas lascivas, yo una vez vi en el metro a un maldito viejo, que no dejaba de ver a una niña de la secundaria con uniforme",N
"no puede ser que ya no me pueda ni eresar en esta red social por qué todo se lo rolan a mi mamá, créeme que no ayudas en nada",N
@kymposiblee eres bien mala onda,N
Es culera pero así la quiero,N
#Stop. Dios es bueno en todo tiempo,P
que triste de verdad @Rayados @PueblaFC @PumasMX @SanCadilla,N
"De nuevo en la escuela, porque agarre inter #matavacaciones",N
No está chido empezar el año con lesión de tobillo,N
"@Jimena_Quijano terribles, pero ni pedo yo el jueves iré a cambiarlas",N
"@mrous_ @carolgvivas La belleza de Tigres presente en todas partes Saludos, chicas!",P
Tengo un buen de ganas de ir al cine pero soy tan flojo,N
wawwwww siempre encuentro la modelo perfecta amo mi pasion de diseñar #javiercarbajaldiseñador #cdmx #atelierjaviercarbajal,P
"y así, con tu gran ocico cerrado es como te ves más o menos bonita",N
"@monssev12: We, yo solo quiero que alito y lapizito me quieran, ¿Es mucho pedir? X2 @lapizito123",P
"Hoy entre a sephora y los productos de benefit están bien caros, casi salgo llorando de ahí.",N
necesito nuevo dealer éste cuatri será difícil si no dejo mi vida en manos de la bendita drogadicción,N
"@Gloryagpem @karench0708 ayer andábamos por allá jaja, le diré que vayamos mañana a ver si me dejan gracias lindas",P
"@Filibrown jajajajajaja. De todos esos nomás rebozos merco, jajaja. Mi troca es tailandesa no la han traído a silao uu",NEU
@szurita ya estuvo que el mexicano se quedó preso la Lic @ruizmassieu ya no es la mera! Mera ahora es Videgaray,NEU
"La edad me trae fugas... de sentimientos, buen juicio, buen gusto, sentido común, prudencia y cortesía. La incontinencia aún no me llega",N
"@pwoblematique la edad jajaja ntc, pues no sé, supongo es normal digamos q me pasó igual pero con los videojuegos encontré mi máximo",P
"Sí es Shido ser fiel Yo sabía que lo era. Qué me pasó esas veces? O sea, fue desde mi primer novio en CCH...",P
@travel_gaia 10pax -$200 20pax - $320 10 pax rellena - $280 20 pax rellena - $400 Relleno sugerido es de cajeta o cajeta con nuez,NEU
"@DafneCa1 estaba pensando en preguntarte sí ibas a ir jaja :v,el jueves nos vemos allá me voy a sentir raro por que todos ya se llevan",NEU
"En ruso me quedé en nivel medio. La vida, el servicio social, el fin de la carrera hicieron que me separa por un rato de mi amors.",N
Para que me robaran 4 millones de pesos como en la casa de Andrés García me tendrían que robar la casa con todo y casa y ni así,N
"La única ""persona"" a la que le cuento mis cosas es un niño de 5 años, no me critica, solo me escucha y lo mejor es que entiende un poco",N
Quiero ser flaca y bonita,NEU
@GenariuxR Buenos y bonitos dias amiwoooooooooo,P
#LosLunesDebenSer sagrados y trabajar hasta el martes,N
Ahora por floja me voy a dormir tarde,N
@sofffiaaa tu que eres chihuahua lo mereces más Haha,P
@Soymarioruiz a mi se me acabaron desde la semana pasada,N
"Mateo, estate quieto sólo era 1 segundo, sólo 1 #NoQueriaFoto #FelizDia…",N
@MemoCalderonS feliz año tu! Tenía un rato de no saludar. Un abrazo,P
"Esta vez que tengo todo para ir , no estoy tan segura jajaj",P
Que no se pierda la costumbre de dar los buenos días contra la pared.,P
"@darkanhell son previsores, es por si algún día llega un auto por allá ok, no...",NEU
A veces siento que es mejor estar atrás de un escritorio que intentarle a la litigada,NEU
"No me gusta mi nuevo lugar, estoy con chavos de FCA pero extraño a mi departamento T.T",N
"@Paulitm Paulina, confirmamos que la señal se transmitió correctamente en la región, por favor revisa con tu cableoperador",NEU
Me da miedo venir a esta clase de lugares no vaya a ser que me tope a algún conocido,N
"Días!!! Busca tu centro. Enfócate. Sé feliz. Agradece. Incluso en los momentos más desafiantes y dolorosos, la gratitud libera... Besitos",P
"@ALMA13 ha sucedido que familiares cobran por el pensionista y les roban. Incluso hay denuncias al respecto, cuidemos a los pensionistas",N
Yo esperaba encontrar un boleto para ir al partido de mis Spurs vs Suns en la CDMX de bajo de mi arbolito,N
"Hola @raramo74! vamos a estar al pendiente de esa ruta y en caso de que encontremos algo a buen precio lo publicamos, Saludos!",P
Eso de no poder dormir y despertar en la madrugada se está volviendo muy recurrente y no está padre!! &gt;.; yo no era así.,N
"Días!!! No tengas miedo de vivir, rómpete el corazón y el alma, que la vida se nos da no para regresarla intacta, sino vivida... Besitos",P
"Todo el año perros be like: -GUA GUAAFFF ARGG GUAAFF A LA VERGA PUTO GUAF. En diciembre perros be like: -Ay ay los cuetes, tengo miedo",N
"Entre mas creces, mas cuenta te das de cuan triste es la vida, de que no todo es bueno y de que nada es eterno. Bendita infancia",N
"Es triste cumplir años el 2 de enero, casi nadie recuerda que cumplo años por las fiestas de fin de año y además los pesco ya sin dinero",N
"Personas que dicen que el 29 de julio sera el fin, lo que no saben es que se acercan dos fin, el fin del mes y el fin de semana Buen día",NEU
@randeles Que buena foto! Felicidades,P
@MarioBautistaMB @mariobautista_ te amo un buen,P
"@DebnamFabray si, la verdad si fue feo",N
Hay una gran parten de odio en mi,N
Es mala la calentura #AlexAlAire #SabadosImpactantes #YaFMVilla #Musica #PorSiTeLoPerdiste,N
Que triste ver todas las fotos de cuando fuimos amigas,N
@gustragosmaxima deberías poner la de prendido fuego de @ntvgoficial para participar,NEU
"#QueNoSePierdaLaCostumbre De Querernos, amarnos, respetarnos, cuidarnos y estar juntos toda la vida",N
"@Mariazelzel Tengo un mal presentimiento, Ojalá me equivoque, pero el equipo se debilitó.",N
Necesito una nueva mejor amiga xq mi mejor amiga está muy ocupada para mi,N
quiero organizar un buen de cosas cuando ya solo me queda una semana de vacaciones,N
Feliz día del periodista !! A mis conocidos amigos y gente que sigo y me sigue,P
"@David17519416 Pero no hicimos rolas por años, solo ligamos bandas y canciones en común Gracias por escuchar",P
@DonRul yo creo que esa es una mejor frase para una personalidad tan particular como la suya jejeje,P
"@EddGZ Neel, eso no me gusta, mejor tú y el día que sea, por la tarde, y busco adaptarme",NEU
Que feo ver del otro lado de mi lugar de trabajo que están comiendo cheetos y yo acá valiendo verga,N
"@bayou7478 estoy igual. Quiero un maratón en marzo/abril y otro en octubre/noviembre. Si te enteras de nos buenos, por favor avisa.",P
"@Ferchitomen11 checa con waze rutas alternas, xq el trafico viene rudo hasta la altura del parque chitla! Y gracias! Que llegues pronto",N
"Ya me cayó mal estar de vacaciones porqué me duermo muy tarde, cuando mi hora para dormir es a las 9 o 10",N
@GarzaaJr No es un bulto y nunca lo ha sido @GarzaaJr es un luchador Novato que ha madurado muchísimo desde que llegó a @luchalibreaaa,N
es bien raro no estar en la escuela a esta hora :c la neta sí extraño eso y apenas van dos días de clases jajajaja,N
"A la verga 2016! Me trajiste mucha tristeza pero espero el 2017 sea de lo mejor, a darle pa adelante q para atrás ya dolió bastante",N
"@EseRover seh, ya me dijeron que siguen negociando talentos. Pues mira, si voy. A menos que algo se caiga. Y el 17 hago show en GDL igual",NEU
"ya esta hannibal s3 en mix up pero esta muy cara y no vale la pena el gasto si fue la temporada que menos me gusto,esperare una oferta",N
Ya no sé que hacer con mi serie de fotos final. No pensé que me iban a gustar tanto las fotos que tomé hoy y ahora no sé que hacerr.,N
Eres un pendejo Pulido @puliidooo,N
"@aikonmx ay, poes qué delicado nosierto.",NEU
@AbieeFlores si neta todos cerraron en chinguisima,N
Mi abuelo no sabía que tenía segundo nombre,N
Tengo las manos tan congeladas que no quiero trapear,N
#EsteFinTengoGanasDe Cocinar una rica pasta casera de espinacas con queso,P
Aún me parece mentira imaginándote que vuelves a pasarte por qué,N
"@NayadeAbsal Huy ps así que chiste?, no seria tan divertida la vida",N
"@Manuellflorod Bienvenida (triste) realidad, andamos en las mismas, pero no hay de otra",N
Paseito... Laika cumple en pocos días 5 años... 5 la condenada !!!!! #ILoveDogs #ThePack…,P
"@_alineepa exacto, no va a pasar!! Pero cada quien puede y debe hacer su parte",NEU
No sabía que el ser humano fuese capaz de producir tanto moco verde. Hasta ahora. #GanandoComoSiempre,N
¡HAZ EN GRANDE TUS PROPÓSITOS PARA ESTE AÑO! LAR Inmobiliaria les desea un feliz año 2017 #LARinmobiliaria,P
Cuando piensas que las cosas van a toda madre y la cagan la vida es un riesgo carnal!,N
Según yo sólo vería los capítulos que me hacían falta y ya vi la mitad de la serie hahaha,NEU
"Hoy Marihana probó: carnitas, nieve de Patz, raíz de chayote, changungas, sopa tarasca, mole, enchiladas, natilla... espero no se enferme",NEU
"@Fridaricky así como estas... Primero abajo, pero comiendo panochita suave, y luego atrás para dejarte la ir muy duro! Qué rico",P
"Pero ya siendo serios les respondo algo así como: ""Fanon, F. (1965). Los condenados de la tierra. México: Fondo de Cultura Económica.""",NEU
@nahimachoura que te pareció el tercer uniforme de nuestras aguilas? A mi no me gustó pero se ve mejor que el de local...chale..,N
¿Por qué dicen que ando en modo mamona? ¿qué no saben que soy la persona más aburrida para platicar? Les have falta tratarme más,N
@marthaor2010 10pax -$200 20pax - $320 10 pax rellena - $280 20 pax rellena - $400 Relleno sugerido es de cajeta o cajeta con nuez,NEU
"Mi último tweet del año. 2017 va a ser un año muy perro en muchos ámbitos. Pero puedo con él, va a traer muchas cosas buenas",P
"Cuando era niño e íbamos a Gigante, se hacía lista de que se iba a comprar y siempre bien limitados. Hola ese dejo de ser un problema",NEU
"En un ataque de desesperación, puse a cargar mi celular con mi laptop en plena central porque me queda 5% de pila y aún no pasan por mi.",N
"Traigo desde hace 2 horas una pinche basurita en el ojo y nomás no se me quita. Ya me fuí a lavar, ya me soplaron, ya todo y ahí sigue.",N
@ViajerosAccion Jajajaja buena buena foto,P
@SanCaReforma @pablitobarrera Es por salud mental,NEU
Estoy comenzando la última temporada de HIMYM,NEU
"@pochiitto por qué no, puedes hacer una alterna.",NEU
@eli_rivas10 @Madonna @pedrosola @chabelooficial @LAURAZAPATAM JAJAJAJAJAJA ay te extraño,N
@marianaequi ¡Vientos! Va sanando bien chido. ¡Cuídate mucho esa manita!,P
"@bravephtp El cadáver de la novia, y si es nueva... Pasajeros",NEU
Primer día de trabajo y estoy que me muero de enferma alv,N
como cuando no te puedes registrar en el #VansCustomCulture porque vives en méxico,N
"Lo triste de las vacaciones, es cuando haces maletas para regresar a la rutina.",N
@luisitorey #LuisitoReyMago pon dinámicas más difíciles en esta dinámica no se ven todos los comentarios,N
"@DhasiaWezka yo creo que seria muy bonito entrar a tu tw y ver ese ""Te sigue""",P
Como cuando tu mamá quiere que te hagas pruebas de embarazo jajaja no estoy embarazada solo malita,N
"@AxelMishael es una ciudad hermosa llena de cultura,con gente bella y comida deliciosa. Muero por volver! Disfrutá mucho",P
@EduardoRamos95R aquí ando me enferme de la garganta jajaja ntp sígue jugando amor te amo mucho! Te extraño popochas,P
"@adriantr09 @ClubTiburones @PumasMX Siempre he sido así Y pues siempre he cumplido y pagado apuestas, así que ya rugiste león",P
"7 horas ya desde que salimos de Mendoza y seguimos en Puebla varados... Weeee, mi pobre perrito es demasiado para él",N
"@JuanTaleb Naaa que postales tan hermosas Taleb! Feliz año!!! Te mando un abrazo, gracias por este año tan lindo, fue bonito conocerte",P
"—Ma, ya no quiero ir a la escuela. —¡Tienes que ir! —Ah, chinga y por qué. —Pues tú eres el maestro, cabrón. —Asicierto.",N
"@carlacarrilloof: Y todo lo mejor para ti y para tus seres queridos. Recibe un cálido y fuerte abrazo desde San Luis Potosí, S.L.P. tqm",P
"@anabrendac: Hola, paso a desearte un feliz año nuevo 2017 y que esté lleno de salud, abundancia y éxitos para ti y para los tuyos",P
Estaba pensando en todas las cosas divertidas que quiero hacer este semestre y luego me acordé de lo que metí y pues no va a pasar,N
A mi papá le regalaron una bolsa de café artesanal y un termo y estoy muy celosa porque a mi seguro me regalan una camiseta o asi.,N
"La única a la que le voy a decir es a mi novia. Así que si no me estás pagando ningún recibo de mi casa, no estés chingando",N
"-El de los tacos me dijo: "" Y la güera, joven? "" -Le dije que ya eras piña de otro taco, que ya otra salsa te enchilaba la carne.",N
Siempre el más guapo Ay,P
Ando bien adolorido de mi espalda,N
@Osscar_II Jajajaja!! Esque me gustó poquito bb!,P
15 días sin uno de esos abrazos mágicos,N
Con pie derecho el inicio del año laboral #ILoveMyWork,P
En serio tengo muchas ganas de verte Te extraño demasiadoo..!,N
@edwardchdz @GalMty discúlpame! Apenas vi! No todo estaba abierto y normal,NEU
@mabonitatuya1 @Samemo11 Huy qué rico! Se ve que si te exitabas jeje,P
Me gustabas para ver películas y series acostados pero preferías a tus amigos,N
Lo malo de estar enferma es que la comida no me sabe a nada,N
Es un día muy bonito como para que este llamando al banco todo el rato,N
"Creo que la sinceridad es importante, pero practicarla es lo principal y más si se promete!",P
@OlgaMatilde lo bueno que los años se están yendo muy rápido y pronto vendrá el siguiente invierno,P
"@EduardoRamos95R yumi  te amo, estoy viendo la serie y tu?  también te extraño mañana te veo?",P
"@ROSYARANGO dicen que cuidar a un recién nacido es trabajo en equipo, así que yo le cambio el pañal",P
"@konemak Hay películas que por acuerdos de sus distribuidoras, es de la única manera en pueden estar dentro del catálogo",NEU
"Cuando dices vida yo estaré contigo, tomas de mi mano y por dentro lloro aunque sea mentira me haces sentir viva",P
"@VivaAerobus Hola, ¿Se puede hacer web-checkin e imprimir el pase de abordar si viajo en viva light? La página dice que no...",N
"@RuizJanely eres un ángel caído del cielo, fui a buscar de casualidad si estaban en las otras cocinas y no están mis cubiertos",N
"@PLLadictos I need you help! Siento que soy la úmica que no a superado Gossip girl, como tu con Stelena asi de mal estoy...",N
"— ¿Nivel de inglés? — Alto. — Traduzca juguete. — Toy. — Úselo en una oración. — Toy triste. — Awww, vengache pa' acá. —",NEU
ese triste momento en el que te das cuenta que se te acabaron las vacaciones y que ya casi es hora de volver a la realidad...,N
"@estarc62 No podía dormir y prendí la compu a las 4am y no sé como ngaos di con tu testimonio Mariano, escuché la misma voz q tú,GRACIAS",NEU
"q lindo q 1 vieja maquillada 5 tonos + claro, q c cree asiática y q comparte memes horribles, piense q es mejor que yo en cualquier cosa",N
"¿Cómo que no voy a ver a Sputnik, tampoco me voy a ir a aguascalientes, los Rebel ya tocaron y a Little va mi ex? Y los boletos de la WWE",N
"Btw me voy despertando, hola",NEU
@AleBaIe_ iba a ponerle lo mismo,NEU
@LezlyCarolinaM que bonito cuando tienes novio jajajajaja,P
"@Arissima yyyy gracias, te vamos regalar una playera",P
Adiós a la nueva planta de #Ford en #México,N
Jamás me toca monito en la rosca. Quisiera ser relevante,N
@braver ahhh ya me había emocionado con eso de tres pesos,NEU
Estoy haciendo chocolate abuelita y pura madre que les voy a dar,N
Me enoja que me den ganas de cagar cuando estoy bien cómodo acostado,N
"@Fershymp es correcto, falta mucho para y por eso nunca estamos unidos como compatriotas",N
@anuarrieta Ah ya si también la vi y si no sale mucho pero luce guapísimo.,P
"@Jhovanny920218 la vdd si, jaja pero yo me curo rápido de eso. Ya la perdone. Gracias!!",P
"#EsLaUltimaVezQueTeDigo Que lo que siento por ti, no lo siento por nadie más ¡ENTIÉNDELO CARAJO! Santiago Olavarría",N
Ya viste lo bien que nos divertimos el uno sin el otro. Después de todo nadie es indispensable.,P
"De Las princesas Ana&amp;Mía a Mórbida mal pedo, qué tan gorda soy si me encontré boronitas en mi papada?",N
¡QUE YA SEA 28! Ya quiero ver a @AdiosParismx me hace falta olvidarme de todo con buena música en vivo.,P
"Cuando me duermo muy tarde planeando proyectos que me apasionan, es un completo goce, inspiracion a la calma de la noche",P
@soyalannavarro me pregunto: ¿habrás leído mi tweet y te sorprendiste por que ese es mi máximo nivel creativo? Me temo que sí.,N
@ROUSIEL Crema de Brócoli es muy rico. También cocido... 5 min en agua hirviendo y listo. Muy bueno para una ensalada queda crocante.,P
"Buenos días!!! Lo que has hecho con amor regresa a ti. La recompensa viene de arriba y llena tu corazón, no tu ego... Besitos",P
"@deba12334 por qué siempre en las finales los hacen los domingos y todos al siguiente día trabajan, van a la escuela y no se pueden",N
"Buenos días! Si permites que tu corazón sea tu brújula, tu mente sea tu mapa y tu alma sea tu guía, entonces nunca te perderás... Besitos",P
"@raticorns Pasé algo similar, el regalo genial (una de esas cosas donde pones tu cel y se ve 3d) pero mi cel es viejísimo y no funciona",N
"Lo lindo d usar Loquendo o mostrar mi cara es que los canales de salseo te ignoran, las redes no te verif. y marcas no te toman enserio.",N
"a pesar de ser lunes y de que no inicie con el pie derecho, hoy nada me dará bajón, ando motivada con la tesis a dar el power amigos",P
Alguna serie buena? No? Ninguna?,NEU
@LuzioUV porque son las fiestas patronales.,NEU
@ajuangorena igual que yo jajaja ya mero,NEU
@Elenacastillo08 Yo tambien y me faltan 2 añales,NEU
"@vicmanini Así es Vic, me gustó mucho Bonito Martes",P
"Desvelado, cansado, cuasienfermo pero feliz. Vámonos al aeropuerto. Buenos días!",NEU
@correosdemexico está atascado el palacio de los deseos @L_ArellanoN #Ayñ #NoVanALlegarLosReyes,N
"@AlbertoMoolina sobres, yo llevo los juegos de azar. Tu completa lo demás",NEU
@TarsisLugo si no te gusta ponle limón y azúcar así sabe más rica,P
@mayteaguirre ¡Cero! Lo que te haga feliz o te de tranquilidad está súper bien.,P
@pablogarabito tu muy bien ¡saludos! Q bonito mi nombre al aire @Planeta947 @alelaneta bonito día.,P
@CristinaEnAlfa @alfa913fm Hola Cris Saludos desde Ahome Sinaloa rumbo a Tijuana en un autobús Elite Hermosa,NEU
