text,sentiment
Si se desesperan nos lleva puta,N
@UnZorro88 a mí me gustan de hecho,P
Segundo cuarto y Golden ya lleva 73 puntos,P
Hoy puede ser el penúltimo capítulo de Ragnar Lothbrok,NEU
Yo ya estoy con gripe y ni me he mojado,NEU
"@TutzyFF jajaja que bueno verla anoche, que pases un excelente día",P
@EdySmol Correcto! Es pura arte. Mejor no lo pudiste describir. Felicidades!!! Bendiciones!,P
"Bueno por dicha ya estoy en Zarcero, no estoy en la calle. haha",P
@andrearivl me voy a morir quiero verlo en vivo y tigo no tiene CBS,N
@oviedo_6 yo personalmente lo bloquearía inmediatamente pero al final yo no soy una belleza so,NEU
"Me gusta el rumbo que mi vida esta llevando, me siento tranquila y contenta conmigo misma",P
Casi me aplasta un árbol pero lo bueno es que en la casa ya llegó la Navidá,NEU
@estabarca fijo si me gusta hago lo que hice con el episodio VII... fui al cine 5 veces,P
Me iré a dormir sabiendo que la única app de manga con la que leo no tiene actualizado ons,N
"Esta ceniza me tiene mala ya. Ando con alegría y me arden los ojos, no puedo usar lentes de contacto.",N
"#Windows10 qué mal me caes... @Microsoft Para abrir cualquier navegador o aplicación es tan lento, torpe e ineficiente que da pavor",N
Mañana se madruga para ir a trabajar a la casi frontera norte. Si puedo me paso y voy por Toñas y tostones,NEU
"Chiky en todos los eventos me dice ""Mae échame a una amiga tuya"" y nunca le he cumplido, soy una mala mejor amiga",N
"2:12 am, está semana he dormido 17 horas, hago examen de química a las 8 am y salgo del brete a las 10 pm",NEU
Pues que estoy hablando y en eso me sale el lado ñoño que esta dentro de mi todo mal yo hablando de trastornos de personalidad!,N
Bienvenida a los juegos mentales,P
"@kathysjo excelente, que grande que está",P
@Tia_Yeye @Jacko_Pinto no sabia que eran pareja.,NEU
Alguien tiene algún contacto que haga queques navideños?,NEU
Uri por cobarde se fue en la colada. #moisesylos10mandamientos,N
"Un País tan afectado como Haití, necesita del mundo entero.",NEU
No puedo entrar a mi servidor!  y site5 no reponde,N
Que dicha que me vale todo lo que todo el mundo diga,P
"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio",N
Ay qué bonito todo! Demasiado extraño no estar sufriendo a estas alturas Vamos Seleeeeee,P
"El primer capítulo de la primera temporada de Black Mirror es bien pinche triste, wey.",NEU
"@Kengope oh, yo es que estaba curioso de Google Play Music. Apple Music no me sirve",N
"Sopa Negra, opción plato fuerte en la soda. Dios sabe como reconfortarme después de las noticias agobiantes",P
@twocannn a mediodía? La próxima no lo dude! Aunque me vea serio yo soy un carajo buena nota!,P
Me hice un sándwich. En vez de queso le puse leche condensada y aún así lo puse a tostar,NEU
"Soy la peor basura del mundo porque, justo hoy Andrea tenía que verme con otra mujer, que mal me sentí.",N
"Me despierto a las 6 de lo más tranquilo y relajado, me despierto a las 8 y amanezco cansado y enojado",NEU
Con lo que voy a gastar comprándome algo para halloween me compro una mudada y de paso la entrada en 5 mil,N
"@Chepe_Centro bueno no es tan mala, tiene muuuchos elementos de las primeras dos películas (eso es lo mejor) y le agregan otros nuevos",P
No me han llegado mis películas de cine clásico que pedí así que veré algo básico como The Purge: El año de la elección,NEU
Buenos días @luisguillermosr. Hace una hora y media salí de Cartago y apenas estoy en Zapote. La gasolina está cara y con presas no rinde,N
Me siento triste y solo,N
@JaenRodz jaja gracias igual mido 1.55,NEU
@jaoc03 que buena fiesta se pegaba uno,P
"@rafa514x excelente, estamos muy atentos a tus comentarios",P
Otro terremoto y otra alerta de Tsunami para Japón.,N
"@mishafantana si obvio eso es lo importante, gracias por preguntar",P
Me siento tan cansada y saber que salgo hasta las 6,N
"@Juanjo90 @CataSolis20 Eso Juan, lleguenle, va a estar divertido. Mucho gusto Cata",P
"Sin Morata, Kroos, Bale y puede que aún sin Casemiro para el clásico",NEU
"La típica que nunca ha dicho la palabra ""picha"", siempre se la ha ""comido"".",N
"Quiero demasiado el balde de pollo, cebolla y papas fritas de la Papería. Alguien lléveme",NEU
Me llena demasiado ver tanta gente con la intención de ayudar y moviéndose que lindo todo,P
Acabo de tener una idea formidable que involucra a @tsaitami y por eso le mandé un correo,P
"A la gente buena, le pasan cosas buenas ... al resto a veces también nos pasan cosas buenas",P
"@libadri perfecto. ¡Gracias! A ver cuánto me toca pagar este año, que ya 3 años he pagado lo mismo.",N
"Aunque el día no empezó de la mejor manera, queda en uno decidir que tipo de día se quiere vivir.",NEU
"@Frimiralles que delicia, si estuviera más cerca fijo le llego con el tupper. Pero 200 km me separan de su pozol",P
"Cosas q debemos usar para simplificar nuestra vida: el cerebro, sentido común, una sonrisa y eliminar a quién no nos interesa. Simple",P
mañana hay entrega de trabajo final y yo aquí muy zen desayunando en paz sin tener ni media página escrita... ni las fuentes,NEU
"@Saramallow los mismso problemas que tenía del otro lado, solo que solo iba un día a la oficina y mi vida era una ilusión",N
"Si por aca hay algún chico o una chica mayor de 18 que busca empleo para temporada navideña en tienda, que me ponga un Dm",NEU
@ReyDeLosBullies La quiero aniquilar. Desgraciada.,N
Quiero una caldosa y un granizado.,NEU
Lamentable informan que murió Gabriel Badilla. #RIPGladiador,N
No he visto el nuevo episodio de #TWD,NEU
En Heredia ese temblor se sintió leve pero horrible,N
"Ayer descubrí que no soy amargada, en realidad soy preocupada.",NEU
Odio que me cambien mis planes por comodidad de los demás,N
@somekindofEdu pero pensé que luego de jugar juntos todo iba a cambiar,N
@Chamo_A_ la hijueputa tela se me salió. yo quería volver a quedar acostada.,N
Hoy es el concierto de Metallicaaaa!!! Uuuuhhh... lástima que no voy la wea triste,NEU
@FexCR ufff una cosa deliciosa!! Jajaja Que desorden ! Metí las patas ser feliz Fexito!!!,P
"Aún no puedo salir de la U porque la tarifa de Uber está alta, me escupo",N
Solo actividades de mi interés me hacen levantarme a las 4am de menos jamás en la vida.,NEU
"@tigreshooligan ay tan lindo amigo!! Gracias. Espero que jueguen con rencor, porque se hacen imparables cuando están resentidos",P
@EdySmol Me encanta que resaltes la moda sin ser superficial sino siendo un excelente crítico! Saludos desde Costa Rica!,P
"@marielabrenesv Ah entonces a ver primero Stranger Things, además que son menos episodios. Voy a ver si la empiezo ya",NEU
"Mi mamá adoptó una gata que dejaron botada al frente de la casa, si alguien necesita gatos me escriben, tengo 4",NEU
Yo le escribo a la gente a la hora que sea porque mi ansiedad no me permite esperar a una hora prudente,N
"@treledo Ya pude ver la info, el hoario es de 7.30 a 4, no tenía idea de que se podía solicitar digital, gracias",NEU
Es bonito tener orden en la vida; solamente hay que aprender y acostumbrarse a poner las cosas y a las personas en su lugar,P
@diegodelagos Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...,NEU
Me cago en la puta,N
Que asco spotify desde la compu,N
Extraño todo de Belén Es tan chiva...,NEU
Yo sí lo sentí y me lleva puta,N
ustedes saben que mi vida se basa en vistos.,NEU
La segunda temporada de Fuller house me duró 3 días.,NEU
el amigo secreto de hoy trajo un delicioso arroz con leche,P
A mí en serio esas cosas de ganar no se me dan,N
Estaba durmiendo tan ricooo jaja que cólera que me dio cuando me despertaron,N
Ayer fui a @subwaycr y aún no estaban listos para recibir donaciones de puntos,N
Preferiría discutir con un umpalumpa que con un (a) cristiano (a) conservador (a) de derecha.,N
- se llevo los doritos y los frescos - pero no se llevo EL PAN @MarianaCruz04,NEU
@vivihbena ahhh pero ahí estaban las rubias -.- jajaja ( que mal que no se te quite),N
"Hoy hice todo de una manera olímpica, pero algo se me tenía que olvidar. ¡Ah sí! La sombrilla.",NEU
"Si Cofal o Zepol necesitan influenciadores en digital, hoy, después del pichazo que me pegué, yo podría ser uno.",N
Ya casi me quitan los frenillos y no quiero aún los siento feos. Los necesito al menos un año más,N
"@Danileivacr buenísimo!! Yo mañana voy a clase de 6 de la tarde que es yoga Dance, es como yoga pero aeróbico",P
"rajado, cuando pasan 16 años te das cuenta que unas cosas cambian si..otras se mantienen para dar tranquilidad en los dias libres",NEU
Yo hasta ahora veo el vídeo del pingüino no lo puedo creer. ¿Es normal que esté tan triste? Díganme que ustedes también lloraron.,N
"De hoy en ocho nos dan las camisas de undécimo, y yo ni sé si voy a lograr sobrevivir a la semana de trimestrales",N
"@KhaMoreno hahahaha no lo había visto! Pero ojo, me desperté a las 8 y estoy tratando de dormir no puede ser q ste despierto aún",NEU
Que feo eso de decepcionarse,N
@DCBlancoQ o ya lo está hola,NEU
"@titabobra exacto, qué colera me da eso",N
Que pecadito la gente afectada por las inundaciones,N
"Porqué terminaba contrato, ya ví seguro se fue solito",NEU
@moboza pavas igual y no nos.dejaron irnos a la casa,N
Les juro que lo stalkeo y mi instinto asesino se activa.,N
Primera vez que David cena en mi casa y quiebra un vaso.,N
Estoy solita en la oficina... pondré mis vídeos de cosas paranormales sin audífonos,NEU
"@marioredondo @ingenieractc no da igual, yo soy funcionaria pública y no todos pensamos así.",NEU
"@gabrielselva_cr Ah no, es en el Auditorio Nacional. Hasta el próximo año en Marzo jaja",NEU
Hoy me di cuenta que mi crush ya tiene novia y es mucho menor que yo,N
"Yo quiero enseñar mis bolas en facebook, pero su política de desnudos es muy estricta. Mejor no.",NEU
"¡Hoy habrá nuevo campeón!, que pase lo que sea, que @MagnusCarlsen sea campeón o que @SergeyKaryakin pierda #CarlsenKarjakin",P
"@Alejandro__Ge hay que pulsearla bastante, lo he intentado un par de veces y nada Pero que buena foto mae.",P
"Los recuerdos más importantes y los mejores vividos se quedan en el alma, más en cualquier otra cosa son borrables",NEU
"@MeLlamoSara @bichoclarke @gabmmd los de cuero,papel y tijera. Que tenía uno visto desde hace dos semanas y le subieron el precio",N
"@GrupoPandora y son 30...30 años de acompañarnos,30 es mi edad y he crecido de la mano con ustedes MIL GRACIAS, atte: Ale",P
"@H_E_Y ya ahí si no sabría decirte generalmente siempre hace sol temprano, se llega a poner nublado es como luego de las 3pm.",NEU
Ya está listo el puente peatonal por mi casa...ya no tendré que dejar de jugarme la vida cuando voy al auto o al cajero,P
Ocupo que den un secret passcode para que las beliebers compren las entradas antes y después las que sobran las ponen a la venta normal,NEU
No me quiero levantar aiuda,N
"@ticotraveleando ingrato, solo porque usted sí",N
"@melangelesvc Ni tamales, pierna, ""fresquitos"", queque... nada!",N
@MaryMatamoros Éxitos y buena vibra en el recital!,P
"PSC / PSOE, Podemos / Izquierda Unida distanciados, jeje!",NEU
Él se ha ganado un lugar especial en mi corazón.,P
"¡Buenos días! Con o sin gripe, hoy se disfruta el día.",P
Lo bueno de verano es que en el grupo hay varios compitas,P
Alguna película tuanis que este en Netflix que me quieran recomendar ? #GenteQueNoCoge,NEU
Clinton ganó voto popular y Trump el colegio electorado. Adivinen quién es presidente electo,NEU
"@m_elinna jajajaja yo pensé que había captado la indirecta pero si, está vacilon el avatar",NEU
"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas",N
Tan triste mi vida que me hablan en Snapchat solo para decirme que mis animales son lindos,N
"Digamos, muy bonito todo, un día super chuzo, todo divino pero mi crush no me dijo feliz cumple",N
@malamujer Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,NEU
¿Será normal este odio-amor con mi hermana? Ni siquiera me respeta Me mandó a lavarme el culo al río lagarto.,N
"@hugozap quizá para profesionales no sea mucho,pero hay no remunerados principalmente femenino para quienes es un sueño, pasa en mi país",N
"@BurodeCreditoMX por curiosidad intenté en 5 bancos distintos y en todos declinado, pero mi reporte está en verde y mi score también",NEU
"@Koalasoy es una teja ese cabrón. Si en el programa se ve agradable, en la vida real es el doble de buena gente.",P
"Siempre que veo pasar deprisa a una ambulancia de soporte avanzado, se me hace un nudo en la garganta y me vienen malos recuerdos",N
Gracias a Dios cerrando con broche de oro! Dios siempre dando lo mejor a sus Hijos esta semana fue mucho mejor que la pasada! #thnksGod,P
Yo estoy triste por Raps,N
Estoy así de hacer una estupidez,N
Yo si que odio recibir noticias así,N
Podría pasar un Día entero viendo sólo mejengas.,P
@AndreaVasRo Lo es. Sin ningún respeto al dolor ajeno,N
"@iMCZC Ay, no me diga eso, todo es posible aún.",P
La lluvia definitivo no me tiene piedad cuando ando en bus,N
"Ya mi relación no es lo igual con Davi, ella me pierde",N
@car_hidalgo lo hacen a diario. Hoy es más palpable por la emergencia. ️,NEU
Cansado es poco. Pero saber que hoy se ayudó en algo me hace feliz.,P
Qué triste ver que el odio por una mujer esté por encima de la razón,N
"Viendo FOX pasan portadas de periódicos deportivos solo en CRC no, porque no tenemos periódicos deportivos",N
@_void07 ¡CALMA PUEBLO! Todo va estar bien. Solo vaya presente todo y haga su fucking examen tranquilo.,P
"@Jorge_Rivera8 la del mio peor, tengo que andar con dos telefonoa para poder revisar tw, fb e ig",N
"Entre todas las miles de personas a las que le podía haber pasado eso, ME PASA A MI -.-'",N
"Ya no estoy para andarle sacando conversación a alguien, si la vara fluye bueno, y sino va pa' la mierda.",N
@EsGermanDZ Quiero hacer una pregunta.  Si puedo? Yay.! Bueno la pregunta es.. ¿Vas o irías a un Jóvenes en Victoria?,NEU
@Natticornia @YouNow ya volvió a esas mierdas porque no tiene a show de huevos es un día triste para el hombre araña...,N
"Soy de esos que, aún cuando la comida esté lista y tenga hambre, si no me sirven me da pereza y no como",NEU
"Fijo a esa mae algún famoso le dijo algo, entonces por eso se cree la mas rica y solicitada del puerto, es mi opinión",NEU
"@rociomoram29 que mal y por eso es que están jugando, yo creo q los jugadores viejos o de la casa deberían tener prioridad pero bueno...",N
Yo solo quiero dormir mas,N
@uiGitsu siempre se aprende algo nuevo,P
@fersalas2205 Yo igual no trabajo el 26.,NEU
@SanzZeriTica y qué? No será la primera vez,NEU
@zeroanima tómese de algo de una vez y listo,NEU
@isamarsanchezg Antes era más seguido Saliamos por batidos de maracuyá,NEU
@Edurraiba es lamentable un tema tan sensible jamás con ese enfoque,N
Porque si estaba bien me tiene que dar calentura de nuevo ??,N
@Linnjimenez y uno se pone triste cuando no quedan papas en la bolsa.,N
Mi estomago dice mozarella sticks y mis huecos post operación dicen puré y gerber.,NEU
Yo debería estar dormida y no bajo este largo ataque de ansiedad de baja intensidad,N
Es una verdadera ver que los videos mas caca tienen mas apoyo que los que costaron,N
"New Balance podría dejar de ser el patrocinador de la Sele o sea, camisetas feas otra vez",N
@FilarmonicaCR ¡Gracias! P.D. Sigan adelante con sus maravillosos trabajos. Quizá algún día un tributo a Soda Stereo jeje,P
"@CamposGeovanni en eso estamos claros, pero yo tengo fe en que los ticos somos solidarios cuando mas se necesita",P
"@H_E_Y qué injusticia, yo no sabía guardadas porque no las quería arruinar.. y se me dañan en la siguiente puesta",N
No voy a poder ver a mi mamá el día de la madre. Por un hijo de la grandísima puta. Bien,N
No salí el fin de semana porque hoy tenía examen y salgo del examen y nadie quiere ir por una torta chilena,N
"Entre lo positivo, está el hecho de que no tendré esas responsabilidades extra que adquiría sí yo quedaba electo. Pero mae yo quería",NEU
Que cargados de odio están tengan se escuchen música abracen salgan de vez en cuando con los suyos y vera como se le quita,N
esta estupida de Abis a la par mía esperando a que saquen el desgraciado Trailer de Resident Evil fuck hasta as 12 md LA vamoooos,P
Mejor me duermo buenas noches,NEU
Bill Clinton ya está muy viejito,NEU
Necesito unos tacones negros a las ya,NEU
Será que en serio alguien puede dormir tanto,N
@ekallestad qué bien suena una nórdica hablando en argento,P
Para navidad voy a pedir que me suba el ponderado.,P
@MarcosPedzik Muchas gracias por tus palabras. Un fuerte abrazo para vos,NEU
@rebsvargas Un masculino adulto que es fanático obsesivo de My Little Pony,NEU
Los anuncios de TV de posgrados de mi alma mater son tan malos.,N
"@bichoclarke leí el post equivocado aparentemente, me salieron los diseñadores snobs en mi feed",N
No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.,NEU
"Necesito plata, mi regalo de cumpleaños no alcanzó para la ropa de navidad y año nuevo",N
"@nathy_ab Tome un descanso y apenas esté de nuevo al 100% vamos a Dairy Queen, esta bien?",NEU
El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza,NEU
"@David_Gato5 Mae esque mi top 3 son Dez Bryant, A. Brown y OBJ La de Zek viene de cuarta",NEU
"Hoy a Santi se le rego el pichel lleno de fresco, y yo parecia Senicienta por todo el piso JAJAJ",NEU
@dankenzon imagínate! Si cuando uno saluda a alguien que está saludando al de atrás se siente feo.. me da miedo ajeno,N
"@Starbucks_CT Hola , queria preguntarte si el nuevo cafe Chiapas, es el mismo shade grown porque voy a hacer degustacion pronto ...",NEU
Me acosté súper tarde ayer (para mis horarios normales) y ahora no puedo seguir durmiendo porque no aguanto el calor de estas horas,N
Quiero cambiar de posición el cuarto pero soy tan indecisa que si después no me gusta me voy a sentir mal por una semana,N
"Mi horario de este semestre es tan tan feo, que me tendré que despedir de mi poca vida social y del estreno de suicide squad",N
Alvarado velando por mi salud,NEU
@luisdbatallar esa tabla es muy reveladora,NEU
Ahora tengo que dormir llena de repelente,NEU
@luisangelzr fijo tenia un amante bandido esperándola #AsiSon,N
@jevs_ Acabo de llamar y si tienen! Muchísimas gracias,NEU
@meLiKosha @sputnk no vi esto igual no podía hacer mucho,N
@Kevoludo24 todo está súper barato porque casi nadie fue el festival.,N
9 horas de que se fue del pais y ya la extraño,N
"@fabriziobarth lo siento mucho. Pero si Facebook lo dice, es cierto. Sentido pésame...",N
"@Noy_07 Pues de hecho sí me funcionó, me siento más tranquila después de eso",P
@valegarrou jaja es lo menos que hago por dicha pero si paso pegado a FB,NEU
@GaritaCRC ¿Y para que me tienes a mi? Son momentos y nos montamos un canal Re-Pichudo,P
@lawanddemons perdón por ser la peor prometo darle mucho amor comprensión y ternura apenas termine el semestre,P
1 minuto de silencio por los que trabajamos en horario de Mall y no podemos ver el clásico,N
Apoyen a la Network @MCRoyalPvP !! Esta network tiene futuro !! P hare videos y directos ahi cuando habran,P
"Lo mejor que puedo hacer hoy es dormir porque estoy a punto de llorar, no fue mi día en serio.",N
@malarodriguez saludos desde Costa Rica mala...ya q siempre te escribo y nunca me respondes Igual nunca me canso de escucharte.. Besos,NEU
"Lo termine a las 2 am hora Costa Rica, porque se me hizo súper adictivo. Me gusto pero no me encanto #LCshinyforflowers",P
"UNAM, mil gracias por todo, te prometo en los siguientes 3 años titularme, aunque me haya costado 13 llegar hasta donde estoy hoy",P
"@xylefTheBarber de comics y de humor negro no y estaré tiempo fuera de youtube, si logro volver es con una idea diferente y cool",NEU
Sólo mi mamá logra por primera vez una cena en paz con TODA la familia Rodríguez Qué feliz soy de tener la madre que tengo,P
Que pereza quiero choco banano,N
Juro que todo lo veo borroso,N
@pamearcep Esa es la respuesta correcta jaja,P
Que duro iniciar el día con noticias tristes,N
@Jaspn_ Yo voy de fijo. Ahora llamo a reservar,NEU
@funfillegamer Soy muy malo funfi me da pena y todo,N
En Face Oswar me deja claro que no soy su amiga,N
La lluvia definitivo que no me tiee piedad cuando ando en bus,N
"Exijo un beso como el de Carl y Enid, que lindoooooo. Wtf #twd",P
"Me siento tan inútil, pero bueno yo siempre he trabajo en las tareas pasadas",N
"ESTOY HARTA DEL SEMESTRE  -Yo, sábado por la noche, resolviendo integrales para encontrar áreas.",N
Yo que podría decir de mi ex? Fui demasiado feliz y me hizo crecer como persona,P
"@crampsattack fijo se me pierde, la vez pasada la encontré en la lavadora fumando rinso 1 semana",NEU
"@JPR_CR con azúcar??? jaja yo solo con sal y limón, a veces le echo un poquito de Chile",NEU
@piladetrastos @tsaitami porque al final siempre llegan a lo mismo: es que ella debió asumir más su lado femenino,N
Que me han dicho tantas veces odiosa que a veces creo que si lo soy pero naaah soy un amor,NEU
@JArmandoCS solo me quedan 3 sábados más así jiji. ¿Qué días estás yendo a la U que no te he visto?,NEU
Sabia que no iba a ser un buen día cuando me dejó el bus y se me rompió la faja del bolso.,N
@ushcala Esa es otra buena idea. Aunque la dinámica de él a sus 9 y la mía esa misma edad es muy distinta.,P
"No son ni las 9am y aquí estoy a moco tendido, llorando con una pelicula con Cameron Díaz que se le muere la hija",N
"@ruthernandezj hahaha sq si tiene un 5 HACE RATO era de cambiarlo haha, yo creo que si aguanta el mio bastantito! Casi 1 año ya",NEU
La Daniela me tienen griseada.,N
@WancitoCubero horrible muy buena pero devastadora,NEU
Mi mamá sólo decirme que estoy gorda,N
Buenos días @Rubiu5 que pases un buen día,P
@Prifv @kabek no hemos ido a la cabra loca,NEU
Que viene Nonpa y fijo es para mayores. Ya lloro.,N
@Zunga a mi solo me quedan 5...ya casi veo la Luz,P
@gpenavalle De las impotencias más grandes. Entiende uno qué significa la resignación,N
Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @radiocientotres,NEU
"Ya 3 veces me ha dejado mamando, pero la verdad lo veo tan guapo...",NEU
"Necesito un gato en mi vida así como YA, tengo que convencer a mis papás",P
"Voy a ver Armaggedon. Qué cinta rajado, muchas gracias a la persona que me la recomendó",P
"El fin pasado le rogué demasiado a mis papás por unas Nike, y no me las compraron",N
Estoy en mi casa encerrada en el carro con musica full cuando debería de estar en algún lado,N
"@croq29 @ChisteTipico me ha pasado... Lo peor es cuando sin decirle nada a uno, lo agregan de nuevo jajajaja",N
"Buenos días. Inicio de mes. A darlo todo, aunque sea ""más o menos bueno en algo"". Feliz inicio de semana",P
"Fiesta bananera, día de la cerveza, Semana 14, último día de eeriencia y así no quieren que me vaya de parranda?",P
"Pobre Bastian Scheweisteinger lo que le está pasando en el United, es muy crack y el genio de Mou no lo quiere",P
Nota Personal: No ver videos de noche sobre youtubers comiendo no ver videos de noche sobre youtubers comiendo no ver videos de noche,N
"@dimar1712 tan linda Diana, muchas gracias vamos a ver cómo me acomodo ahora con trabajo nuevo, cuesta un montón yo te apoyo desde acá!",NEU
Pasé todo el día buscando mi Baby Lips y lo acabo de encontrar. Estaba en la mesita de noche de fijo lo puse ahí dormida,NEU
"Buenas noches papus, que descansen",P
El amor no dura para siempre,N
@GloryPB Las maniaticas son lo mas divertidas,P
aw Tae lo que daría por poder abrazarte,P
Cuando cuando estás taaann cansado que no podes dormir,N
#YSF2 @MundonickLA La mejor serie en todo el mundo !!!,P
Estos #CinnamonRolls traen muchas pasas... puro sabor a #Navidad!!! #ProsanaFoods #EstaciónGourmet,P
"Decirle a un mae ""perro"" es una ofensa para los pobres animalitos",N
Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @OK1055FM,NEU
@demimendozaa Obvio ya quiero llegar y verte Así que de una vez organiza Ixma,P
Ya cambiaron al modelo d Paco Rabane. el que estaba antes era un muñequito yico.,NEU
Pues que dicen que hubo #temblorcr y yo ni me di cuenta porque pasamos ensayando típico.,NEU
"Buenas noches chitos y chitas de mi TL.  Que sueñen bonito, así como con a yo",P
"@Maceji87 sorry x el delay, pero el app arranca cuando quiere...Abrimos de Lunes a Sábado a las 6pm",NEU
Les parece que soy una persona odiosa? a cada rato me dicen eso y que tengo cara de amargado,N
"Hay gente aficionada al fútbol, hay fanáticos, hay envenenados, y hay otros hijueeeeputas necios! Igual que todo en la vida",N
"@ElCatoEnCorto @BooCr2012 @jchidalgo tengo criterios a favor y otros en contra, no lo tengo tan claro en cuanto al resultado final",NEU
@Colucci_99 ah si gracias Esas son las que he encontrado hasta ahora. Antes en pricesmart las vendían hace años pero ya no..,NEU
Nada más bonito que ir en bus lleno y que alguien comience a toser como si se le fuera a salir un pulmón,N
"@CotoLau @AndreCorts yo también tuve los libros de AMP y no me convecieron :/, yo pasé los exámenes pero gracias a los exámenes viejos",NEU
"@SandraCauffman Hola Sandrita. No le habia deseado un feliz dia de la madre, tarde pero seguro.¿ Sabe usted si Juno ha tomado mas fotos ?",P
"Buenas noches papus, que descansen",P
"Hola, soy Sole, el sismógrafo humano",NEU
"No estaba muerte, andaba de parranda! Jejeje",P
"@chrchaves jale, traidor, vendido a la corona española!",N
"#MisPropositosPara2017Son buscar un mejor amigo, necesito a alguien!? nadie?",N
"Que enfermería tenemos, Gareth Bale se podría perder el clásico",N
Lela me escribe Yo le respondo Lela me deja en gris,N
Princesa hermosa  Estas creciendo muy rápido Te Amo pequeña de tía,P
"@soofpe06 JAJA y ya ni eso, porque fijo no nos dejan entrar jajajaja",N
@deprotti la ex novia de 30 vrs Sabina para finalmente aceptar que estas viejo,N
"...y todo lo que hagan, háganlo con amor. 1 Corintios 16:14 Buen dia a todos",P
"@Mausaga vieras dolor jure nunca más volver a ese lugar, queda en PZ para los interesados",N
Últimamente no Twitteo porque no tengo ideas sobre qué Twittear 🤔🤔 ya me tiene feo el tec,N
De nuevo quiero dedicarme solo a ser groomer y pasear perros. No saben la felicidad que me trae.,P
"@sancarlena77 JAJAJA. Por cierto, hasta ahorita me percato del username. Y yo preguntando dónde vive. Soy un imbécil. Perdón.",N
"@Starbucks_cr Hola, quería agradecer al personal del Starbucks de La Sabana por guardar mi cartera olvidada Son los mejores, saludos",P
"Oiga @NarcosNetflix porque no me reviven a Escobar, pa que se ponga interesante la serie.! eh jajajaja ( es en serio)",N
Acabo de preguntarle al Mae de a la par que para donde va pero no fue por vina Esque estoy demasiado perdidaaaa,NEU
"@Calikhaug @PilarAcuna Muy bueno Chiquilla: No hay que tirar piedras al techo del vecino si el tuyo es de cristal. Feliz Noche, Pili.",P
"@me_aburris Sí he visto q los motociclistas andan especialmente violentos. Le pegan a los carros, los patean, le gritan a la gente y esto",N
@andreareyes6767 hola odiosa me hace falta,N
@GuillermoBarqu1 Carepichas esas solo piensan en ellas.,N
Ojala tuviera netflix como en los viejos tiempos.,N
Esperando que sea un buen jueves por la noche,P
@grassengel no podés tener lo mejor de los dos mundos,N
La vara es que odio las materias teóricas y amo cocinar,NEU
"@Vane_Arcia Sí, era justo y necesario. Lo hice y me siento mejor",P
Hola me complacerían con #ParaOlvidarte de @MauYRicky por faaaaa Saludos desde Liberia @lamejor991fm,NEU
No se pueden ver 2 series a la vez es lo peor #prisonbreak #blackmirror,N
@viborildasigue Abrazos para ti desde aquí Vibo ¡Ahí estaré y listísima para grabar la entrevista!,NEU
En otros temas y aparte: la vida da muchas vueltas que curioso como cambian algunas cosas,NEU
Vi que tengo un vecino TAN guapo. Lo peor es que no sé ni cómo se llama,NEU
Yo no sé ustedes pero mi mejor amigo al chile es EL mejor amigo y lo extraño #zad,NEU
"@Mariete772 igual estaba en exámenes finales y estuve muy inactivo, espero volver a la normalidad de ahora en adelante",NEU
Chema en esas y todos en la oficina deseando que vuelva a la oficina y a dirigir la empresa mejor...,P
"@kanygarcia esaaa la mejor de las suertes! Disfruta la noche, disfruta del #GranRex saludos desde Costa Rica! Buena vida, pura vida!!!",P
"Acabo de ver a una excompañera de trabajo y me sentí tentado a saludarla. Con la trompa del carro, a 150kmph, intencionalmente.",N
@tatisalvaradop Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche,NEU
"@KristelS18 Acá tengo pero ugh, la canela no me gusta mucho es que es que me cae pesado, pero se me quitará.. Gracias Kris.",N
Sospechosa tarde navideña de octubre... #grinch,N
@Javi_Guerrero97 vas a ser un gran comunicador,P
Vean los nuevos emojis #iOS102 El aguacate 🥑,NEU
La vida es demasiado corta para seguir las reglas...,NEU
Tan sólo es un mal día no una mala vida,N
@AndresCastg verdad? Que triste que se haya llegado a ese punto,N
El otro año va a ser diferente y tiene que ser diferente,P
"@ushcala que bueno, claro que si, envíame tu dirección de correo por DM",NEU
@RacheliuxCastro @jkriptos tenemos pendiente un vacío whisky y habanos. Como que este fin complicado,N
@La_Llama_ @DosPinosOficial tengo que probarlo. Estoy decepcionado. Ahora el fresco leche sabe a puro sirope.,N
"Cuando no sepas que hacer nada mas hagarra tu celular, unos audifonos y despeja tu mente!",P
@eliana_gab Lunes: Muerta estudiando Fisiología Animal (como ahorita) Puedo sábado o domingo ¿Pa' qué le soy buena?,N
